0,1
msg_from_city_is_loading,from city is loading
msg_for_security_confirm_pattern,"For security, confirm pattern"
msg_for_terms_and_conditions,For terms and conditions
msg_generate_qr_for_scanning,Generate QR for scanning
msg_hold_release_succesfull,Hold release succesfull
msg_if_you_have_forgotten_the_saved_pattern,"*If you have forgotten the saved pattern , logout,login and create a new pattern"
msg_invalid_position_for_data_manager,Invalid position for DataManager!
msg_insufficient_rights,Insufficient Rights: Fare change is not allowed below
msg_kindly_contact_the_mavenTech_labs,Kindly contact the MavenTech Labs accounts team for assistance! 
msg_kindlya_contact_your_representative,Kindly contact your representative for more information.
msg_link_has_been_sent_successfully,Link has been sent successfully to the customer!!
msg_load_seat_shart_one,Load Seat Chart 1
msg_location_sync_is_in_progress,Location sync is in progress…
msg_login_data_is_being_synced,Login data is being synced in the background!
msg_login_details_pending_sync,Login details pending sync!
msg_mobilen_number_is_not_verified,Mobile number is not verified!
msg_monthly_rental_for_this_app_is,Monthly rental for this app is 
msg_new_update_for_the_app,New update for the app is available. Update the app to enjoy latest features!
msg_no_cash_ledger_exists_for_the_selected_user,No Cash Ledger Exists for the selected User. Please configure Cash Ledger
msg_no_data_to_print,No data to print!
msg_no_data_to_sync,No data to sync!
msg_no_network_Connect,"No network ,Connect to internet !"
msg_no_pass_is_applicable_along_with_child_concession,No pass is applicable along with child concession!
msg_no_swipe_issuer_found_selectcash_mode,"No swipe issuer found , select cash mode and finish transaction."
msg_no_transactions_found,No transactions found for the entered mobile number
msg_no_transaction_list_found,No transaction list found
msg_no_qr_infomation_found,No QR information found
msg_not_all_subroutes_are_closed,Not all subroutes are closed or current time has not crossed trip end time
msg_offline_bkg_non_cash,Offline Bkg non cash
msg_offline_bkg_non_cash_amt,Offline Bkg Non cash Amt
msg_offline_luggage_details_pending,Offline luggage details pending sync!
msg_offline_penalties_are_being_synced,Offline penalties are being synced in the background!
msg_offline_penalties_sync_failed,Offline penalties sync failed!
msg_only_nine_seats_can_be_booked,Only 9 seats can be booked in offline mode!
msg_order_status_updated,Order status updated successfully
mag_otp_has_been_resend_successfully,OTP has been resend successfully!!
msg_otp_succesfully_sent_to_the_contact_no,OTP succesfully sent to the contact no:
msg_otp_verified_successfully,OTP verified successfully
msg_passenger_boarding_details,Passenger boarding details are syncing!
msg_pattern_successfully_recorded,"Pattern successfully recorded , press continue"
msg_pickup_locations_not_loaded,"Pickup locations not loaded!, try again"
msg_pick_up_van_details,Pick Up Van Details
msg_pin_does_not_match,"Pin doesn\'t match ,failed to perform booking"
msg_please_agree_to_our_terms,Please agree to our Terms of Use agreement and Privacy Policy
msg_please_confirm_seat,Please confirm seat non-report
msg_please_connect_atleast_four_dots,Please connect atleast 4 dots
msg_pleasr_enter_valid_mobile_number,Please enter valid mobile number for initiating autopos transaction
msg_please_enter_diesel_in_liters,Please enter Diesel in Liters
msg_please_enter_Diesel_liters,Please enter Diesel liters
msg_please_enter_staff_mobile_no,Please enter staff mobile no
msg_please_enter_valid_contact_no,please enter valid contact no
msg_please_enter_valid_min,please enter valid min
msg_please_enter_the_otp,Please enter the OTP.
msg_please_enter_sms_template,please enter sms template
msg_please_enter_transaction_code,Please enter transaction code
msg_please_enter_a_valid_fare,Please enter a valid fare
msg_please_enter_valid_otp,Please enter valid OTP!!
msg_please_give_us_bluetooth_connect,Please give us bluetooth connect or nearby devices permission!!
msg_please_give_us_bluetooth_connect_permission,Please give us Bluetooth connect permission for bluetooth printer connection!!
msg_please_give_us_bluetooth_scan,Please give us bluetooth scan permission!!
msg_please_give_us_camera_permission,Please give us camera permission!!
msg_please_give_us_read_storage,Please give us read storage permission!!
msg_please_give_us_write_storage_permission,Please give us write storage permission!!
msg_please_make_valid_seat,Please make a valid seat selection
msg_please_select_different_payment_mode,Please select a different payment mode!!
msg_please_select_a_valid_date,Please select a valid date
msg_please_select_atleast_a_seat,Please select atleast a seat to continue
msg_select_pickup_groups,Please select pickup groups !
msg_please_select_template_type,please select template type
msg_please_select_a_coupon_type,Please select a coupon type
msg_please_select_a_issuer_type,Please select a issuer type
msg_please_select_any_transaction,Please select any transaction
msg_please_wait_sub_routes_loading,"Please wait, SubRoutes are loading!"
msg_prepaid_card_generated_for,Prepaid card generated for
msg_prepaid_card_already_generated,Prepaid card already generated for the orderid..
msg_provide_contact_details,Provide contact details to send Express Checkout
msg_qr_not_otp_verified,QR not OTP verified
msg_recharge_request_submitted_successfully,Recharge request submitted successfully!
msg_scan_qr_or_select_a_pending_transaction,Scan Qr or select a pending transaction
msg_scanned_amount_is_less_than_amount,Scanned amount is less than amount to be paid !
msg_scanned_amount_is_ln_the_total_fare,"Scanned amount is ln the total fare, Scan different QR or change the payment mode to continue the booking !ess tha"
msg_scanned_qr_amount_is_less,Scanned QR amount is less than total fare 
msg_search_with_mobile_no,Search with mobile no:
msg_seat_wise_fare_edit,SeatWise Fare Edit
msg_select_a_bus_number,Select a bus number!
msg_select_a_trip_to_add_expense,Select a  Trip to add expense
msg_select_qr_provider_and_type,Select QR provider and QR type to proceed!!
msg_select_seat_from_new_chart,Select seat from new chart
msg_selected_seats_are_empty_in_booking_request,Selected seats are empty in booking request!
msg_service_is_already_running,Service is already running!
msg_send_link_to_multiple_passenger,Send link to multiple passenger
msg_booking_is_failed_and_payment_is_prepaid,Since booking is failed and payment is successful a prepaid card is generated
msg_problem_in_sending_otp,Sorry there is some problem in sending otp
msg_stop_the_trip_to_logout,Stop the trip to logout..
msg_sync_service_successfully_ran,Sync service successfully ran!
msg_sync_started_from_worker,Sync started from worker!
msg_sync_worker_successfully_ran,Sync worker successfully ran!
msg_tickets_cancelled_successfully,Tickets cancelled successfully!
msg_transaction_amount_can_not_be_less_,Transaction amount can\'t be less than total fare 
msg_tripSheet_and_sub_routes_are_being_synced,TripSheet and sub-routes are being synced in the background!
msg_unknown_error_occurred_try_again.,Unknown Error Occurred! Please try again.
msg_unable_to_get_data,Unable to get data!
msg_unable_to_open_google_play_store,Unable to open Google Play Store
msg_user_is_not_logged_in,User is not logged in!
msg_validation_failed_Kindly_try,"Validation failed , Kindly try a different QR"
msg_verification_success_order_confirmed,Verification success - Order confirmed
msg_version_up_to_date,Version up to-date!
msg_wrong_pattern_try_again,"Wrong pattern, try again"
msg_you_are_offline_status_synced_later,You are offline! Status will be synced later!
msg_your_access_to_app_is_not_authorised_or_expired,Your access to app is not authorised or expired
